,mean,std,min,max
mean_return,-3.469446951953614e-18,1.0084389681792216,-2.765104891320214,2.371738277667825
volatility,-1.1287267417022424e-16,1.0084389681792214,-1.1480599932003401,2.9029183353719605
max_drawdown,-2.220446049250313e-16,1.0084389681792216,-1.586946680848303,3.0039397629170788
price_range,-1.554312234475219e-16,1.0084389681792214,-1.3170262499972245,2.9231426973222185
up_day_ratio,1.644055262299086e-15,1.0084389681792214,-1.8241815500389358,2.2845979796014833
avg_volume,1.887379141862766e-16,1.0084389681792214,-1.3133087626082705,2.4437707246985223
price_slope,1.8041124150158794e-17,1.0084389681792216,-3.3033255462825855,2.7936327042594704
ma_slope,-3.608224830031759e-17,1.0084389681792216,-3.4025860253429396,2.7883690494529865
ma_bias,-1.3322676295501878e-16,1.0084389681792214,-1.5727114601244607,1.9027890495093551
vol_percentile,-1.6838382540148207e-16,1.0084389681792214,-1.6128061455339233,1.8510201655223548
vol_of_vol,-4.3298697960381104e-16,1.0084389681792216,-0.87936686218387,4.12321277930289
bb_width_avg,-2.2204460492503132e-17,1.0084389681792214,-1.3261474607019474,3.2619521529289495
pct_inside_1std,7.179442225909346e-16,1.0084389681792216,-2.72003362645897,2.4480786543775017
up_vol_ratio,-4.875729449812146e-16,1.0084389681792212,-1.8455654389634761,2.7194306504773844
vol_price_corr,-3.561965537339044e-17,1.0084389681792216,-2.0049722965334054,2.281296849081105
avg_dd_length,-1.6653345369377347e-17,1.0084389681792214,-0.7799594913557514,4.027447790474529
avg_dd_depth,2.4054832200211726e-17,1.0084389681792216,-0.8465300584768158,5.254078670609929
