TopBottom:0.18 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.45 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.20 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.39 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.21 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.38 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.18 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.45 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.20 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.41 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.22 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.35 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.20 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.39 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.23 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.31 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.24 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.28 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.28 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.16 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.31 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.07 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.36 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.40 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.42 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.46 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.47 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.48 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.45 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.47 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.49 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.50 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.50 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.51 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.51 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.50 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
TopBottom:0.52 SellVar:0.00 BuyVar:0.00 ShouldBuy:0.00 ShouldSell:0.00 | OpenNotes:0 Coin:0.0000
